DefaultSC.A1ModJulian     DefaultSC.MOON_INERTIAL.X   DefaultSC.MOON_INERTIAL.Y   DefaultSC.MOON_INERTIAL.Z   DefaultSC.MOON_INERTIAL.VX   DefaultSC.MOON_INERTIAL.VY   DefaultSC.MOON_INERTIAL.VZ   DefaultSC.ElapsedSecs     
21545.01976678767         6849.076096843462           1445.723647662788           0.0002622653846628964       -0.1728496812092531          0.8188549027609754           3.844776769179603e-07        1740.00000001397          
21545.02046123211         6838.528982540884           1494.817322607676           0.0002859918604372069       -0.1787192879496405          0.8175939111545594           4.064990004604141e-07        1799.999999895226         
21545.02115567656         6827.629966219654           1543.834075547114           0.0003110565739916638       -0.1845796981991018          0.8162908469074976           4.290853697908048e-07        1860.000000090804         
21545.021850121           6816.379608718387           1592.771384123305           0.0003374933585291728       -0.190430610396061           0.8149457770701437           4.522344474455764e-07        1919.99999997206          
21545.02254456544         6804.778488954937           1641.626730066491           0.0003653359162854031       -0.196271723467668           0.8135587708542399           4.759438369528191e-07        1979.999999853317         
21545.02323900989         6792.827203896479           1690.397599324235           0.0003946177748730406       -0.2021027368452883          0.8121298996293544           5.002110829988027e-07        2040.000000048894         
21545.02393345433         6780.526368528721           1739.081482190872           0.0004253723454894498       -0.2079233504799689          0.8106592369192104           5.250336715389992e-07        2099.999999930151         
21545.02462789878         6767.876615824411           1787.675873436849           0.0004576328647090122       -0.2137332648578751          0.8091468583979002           5.504090301866604e-07        2160.000000125729         
21545.02532234322         6754.878596710565           1836.178272437362           0.0004914324381388724       -0.2195321810157017          0.807592841885992            5.763345281017962e-07        2220.000000006985         
21545.02601678767         6741.532980035234           1884.586183301231           0.0005268039676593617       -0.2253198005560548          0.8059972673465253           6.028074764907743e-07        2279.999999888241         
21545.02671123211         6727.840452532924           1932.89711499901            0.0005637802241835743       -0.2310958256628045          0.804360216880895            6.298251287173429e-07        2340.000000083819         
21545.02740567656         6713.801718789211           1981.108581491688           0.0006023938185535371       -0.2368599591164081          0.8026817747246271           6.573846804136529e-07        2399.999999965075         
21545.028100121           6699.417501204589           2029.218101858045           0.0006426771724363789       -0.2426119043092023          0.800962027243043            6.854832698688362e-07        2459.999999846332         
21545.02879456545         6684.688539957337           2077.223200422712           0.0006846625328762457       -0.2483513652606638          0.7992010629268164           7.141179779734941e-07        2520.00000004191          
21545.02948900989         6669.615592965332           2125.121406883409           0.000728381986846216        -0.2540780466326376          0.7973989723874179           7.432858288858313e-07        2579.999999923166         
21545.03018345434         6654.199435847055           2172.910256437899           0.0007738674321444705       -0.2597916537445328          0.7955558483524537           7.729837898651226e-07        2640.000000118744         
21545.03087789878         6638.440861881827           2220.587289911171           0.0008211505773942918       -0.2654918925884837          0.7936717856608926           8.032087716047798e-07        2700                      
21545.03157234322         6622.340681968664           2268.150053881574           0.0008702629565959796       -0.2711784698444767          0.7917468812581863           8.339576286764405e-07        2759.999999881256         
21545.03226678767         6605.899724585062           2315.596100807481           0.000921235914574936        -0.2768510928954417          0.7897812341912803           8.652271594189465e-07        2820.000000076834         
21545.03296123211         6589.118835743808           2362.922989152721           0.0009741005633259192       -0.2825094698423075          0.7877749456035176           8.970141064934545e-07        2879.99999995809          
21545.03365567656         6571.998878949846           2410.128283512779           0.00102888788387645         -0.2881533095190196          0.7857281187294333           9.293151570499703e-07        2940.000000153668         
21545.034350121           6554.54073515581            2457.209554739587           0.001085628609871492        -0.2937823215075215          0.7836408588894427           9.621269428938817e-07        3000.000000034925         
21545.03504456544         6536.745302716328           2504.164380066795           0.001144353271229193        -0.2993962161526957          0.7815132734844211           9.954460408190258e-07        3059.999999916181         
21545.03573900989         6518.61349734239            2550.990343234502           0.001205092208692804        -0.3049947045772672          0.7793454719901786           1.029268972885244e-06        3120.000000111759         
21545.03643345433         6500.146252053732           2597.685034613358           0.001267875544726849        -0.3105774986966656          0.7771375659518251           1.063592206640429e-06        3179.999999993015         
21545.03712789878         6481.344517130987           2644.246051328664           0.001332733198069036        -0.3161443112338474          0.7748896689780315           1.098412155453588e-06        3239.999999874271         
21545.03782234322         6462.209260066971           2690.670997384004           0.001399694869178347        -0.3216948557340757          0.7726018967351829           1.133725178736888e-06        3300.000000069849         
21545.03851678767         6442.741465516563           2736.957483784528           0.001468790011131205        -0.3272288465796589          0.7702743669414278           1.169527582223218e-06        3359.999999951106         
21545.03921123211         6422.942135246412           2783.103128659888           0.001540047887829132        -0.3327459990046449          0.7679071993606201           1.205815618354755e-06        3420.000000146683         
21545.03990567656         6402.81228808302            2829.105557386763           0.001613497530343011        -0.3382460291094719          0.7655005157961564           1.242585486393999e-06        3480.00000002794          
21545.040600121           6382.35295986064            2874.962402711099           0.001689167707809247        -0.3437286538755754          0.7630544400847084           1.279833332978875e-06        3539.999999909196         
21545.04129456545         6361.565203367791           2920.671304869873           0.001767087000189349        -0.3491935911799489          0.7605690980898516           1.317555252122737e-06        3600.000000104774         
21545.04198900989         6340.450088293117           2966.22991171258            0.001847283740062267        -0.3546405598096588          0.7580446176955878           1.35574728565846e-06         3659.99999998603          
21545.04268345433         6319.008701170504           3011.63587882201            0.001929785998072475        -0.3600692794763122          0.7554811287997658           1.394405423738032e-06        3719.999999867287         
21545.04337789878         6297.242145322845           3056.886869635258           0.002014621626585722        -0.365479470830478           0.7528787633073966           1.433525604666031e-06        3780.000000062864         
